Action,العملية
All types,جميع الانواع
"Backup file ""%s"" can't read or write","النسخ الاحتياطية ""s%"" لا يمكن القراءة أو الكتابة"
"Backup file ""%s"" doesn't exist","النسخ الاحتياطية ""s%"" غير متوفرة"
Backup file doesn't exist,النسخ الاحتياطية غير موجودة
Backup file handler don't specify,معالج النسخ الاحتياطية لم يحدد
Backup file path don't specify,موقع النسخ الاحتياطية لم يحدد
Backups,النسخ الاحتياطية
Cannot read backup file,لا يمكن القراءة من النسخة الاحتياطية
Create Backup,انشئ نسخة احتياطية
DB,قاعدة البيانات
Database was successfuly backed up.,تم تخزين البيانات في النسخ الاحتياطية بنجاح
Download,تحميل
"Error write to Backup file ""%s""","خطأ بكتابة النسخة الاحتياطية  ""%s"""
"File compressed with Zlib, but this extension is not installed on server",تم انشاء الملف بواسطة Zlib ولكن هذه الاضافة غير متاحة فى الخادم
"Size, byte",حجم، بايت
Time,الوقت
Type,النوع
"Unable to create backup. Please, try again later.",يتعذر إنشاء نسخة احتياطية. الرجاء المحاولة فيما بعد
Wrong order of creation for new backup,خطأ فى ترتيب انشاء نسخة احتياطية جديدة