--Select--,--اختيار--
Add New Option,أضف خيارا جديدا
Add Selection,إضافة اختيار
As low as,ابتداءً من
Bundle Items,عناصر الحزمة
Bundle Product,منتجات الحزمة
Buy %1$s with %2$s discount each,شراء %1$s مع %2$s خصم للكل
Checkbox,مربع اختيار
Choose a selection...,حدد اختيارا...
Close,إغلاق
Default,إفتراضي
Default Qty,الكمية إفتراضية
Default Title,العنوان إفتراضي
Drop-down,المنسدلة
Dynamic,ديناميكي
Excl. Tax,بدون ضرائب
Fixed,ثابت
From,من
From:,من:
Gift Message,بطاقة هدية
Incl. Tax,مع الضرائب
Input Type,نوع الإدخال
Is Required,مطلوب
Message:,نص الرسالة:
Multiple Select,اختيار متعدد
N/A,غير معروف
No options of this product are available.,لايوجد خيارات متاحة لهذا المنتج
None,لا يوجد
Percent,بنسبة
Percent Discount,حسم بنسبة
Please enter search conditions to view products.,الرجاء إدخال شروط البحث لعرض المنتجات
Please select options for product.,الرجاء تحديد خيارات المنتج
Please select products to add,الرجاء تحديد المنتجات للإضافة
Please specify product option(s),الرجاء تخصيص خيار(ات) المنتج
Position,موقع
Price Range,السعر يترواح
Price Type,نوع السعر
Price as configured,السعر كما تم تحديده
Qty:,الكمية:
Radio Buttons,أزرار الخيار
Required options not selected.,الخيارات المطلوبة لم يتم اختيارها
Selected required options not available.,الخيارات المطلوبة المحددة غير متاحة
Separately,على حدة
Ship Bundle Items,شحن حزمة المواد
Shipment,شحنة
Store View Title,عنوان واجهة المتجر
"There is no defined renderer for ""%s"" option type","ليس هناك تعريف لنوع العارض ""٪ S"" نوع الخيار"
This product is also part of bundle(s),هذا المنتج ايضا جزء من الحزمة
To,إلى
To:,إلى:
Together,معاً
User Defined Qty,الكمية المعرفة من المستخدم