 Copy, نسخة
Action,فعل
Add New Template,إضافة قالب جديد
Add to Queue,أضف الى الصف
Are you sure that you want to delete this template?,هل أنت متأكد أنك تريد حذف هذا القالب؟
Are you sure that you want to strip all tags?,هل انت متاكد انك تريد من تشريط جميع العلامات؟
Back,العودة
Cancel,إلغاء
Cancelled,تم الإلغاء
Cannot delete subscriber,لا يمكن حذف المشترك
Cannot delete template,لا يمكن حذف القالب
Cannot mark as received subscriber,لا يمكن ان العلامه كما وردت المشترك
Cannot save your subscription: %s,لا يمكن حفظ اشتراكك: %s
Confirmation Email Sender,مرسل البريد الإلكتروني التأكيدي
Confirmation Email Template,قالب البريد الإلكتروني التأكيدي
Confirmation request has been sent,تم إرسال تآكيد الطلب
Convert to Plain Text,تحويل الى نص عادي
Create Newsletter Template,إنشاء قالب نشرة بريدية
Customer,العميل
Customer Firstname,الاسم الأول للعميل
Customer Lastname,اسم العائلة للعميل
Date Added,التاريخ المضاف فيه
Date Updated,تحديث التاريخ
Delete Selected Problems,حذف المشاكل المختارة
Delete Template,حذف قالب
Do you really want to cancel the queue?,هل تريد ان تلغي الصف؟
Duplicate of template code,تكرار رمز القالب
Edit Newsletter,تحرير النشرة البريدية
Edit Newsletter Template,تحرير قالب النشرة البريدية
Edit Queue,اضافة قالب
Edit Template,تحرير قالب
Email,البريد الإلكتروني
Enter your email address,ادخل عنوان بريدك الالكتروني
Error Code,كود غير صحيح
Error Text,نص غير صحيح
Form was filled incorrectly,تمت تعبئة النموذج بطريقة غير صحيحة
Guest,زائر
ID,الرمز التعريفي
Invalid queue selected,اختيار صف غير صحيح
Invalid subscriber ID,رقم تعريف المشترك غير صحيحة
Invalid subscription ID,معرف اشتراك غير صحيح
Invalid subscription confirmation code,كود تأكيد الاشتراك غير صحيح
Message,رسالة
Need to Confirm,يحتاج الى تاكيد
New Newsletter Template,قالب نشرة بريدية جديد
New Template,قالب جديد
Newsletter,النشرة البريدية
Newsletter Message Preview,معاينة رسالة النشرة البريدية
Newsletter Problem Reports,تقارير مشاكل النشرة البريدية
Newsletter Queue,صف النشرة
Newsletter Section,جزء النشرة البريدية
Newsletter Sign-up,تسجيل خروج النشرة
Newsletter Subscribers,مشتركو النشرة البريدية
Newsletter Subscription,اشتراك النشرة البريدية
Newsletter Subscriptions,اشتراكات النشرة البريدية
Newsletter Templates,قوالب النشرة البريدية
Newsletter subscription confirmation,تأكيد الاشتراك في النشرة البريدية
Newsletter subscription success,نجاح الاشتراك في النشرة البريدية
Newsletter unsubscription success,نجاح إلغاء الاشتراك في النشرة البريدية
No Templates Found,لا يوجد قوالب
No problems found,لا يوجد مشاكل
No subscribers selected,لم يتم اختيار مشتركين
Not Sent,لم يتم الإرسال
Not activated,لم يتم التفعيل
Pause,توقيف
Paused,توقف
Please enter a valid email address,الرجاء ادخال بريد الكتروني صحيح
Please enter new template name,من فضلك قم بإدخال اسم قالب جديد
Please select subscriber(s),من فضلك اختر مشترك/مشتركين
Preview,معاينة
Preview Template,معاينة القالب
Processed,تجهيز
Queue Date Start,بدء تاريخ الصف
Queue Finish,انتهاء الصف
Queue Information,معلومات الصف
Queue Newsletter,نشرة الصف
Queue Start,بداية الصف
Queue Subject,موضوع الصف
Recipients,المستلمون
Reset,اعادة وضع
Resume,استئناف
Return Html Version,العودة النسخه لغة تأشير النص الفائق
Save And Resume,حفظ و استئناف
Save As,حفظ باسم
Save Newsletter,حفظ النشرة البريدية
Save Template,حفظ قالب
Selected problem subscribers successfully unsubscribed,مشكلة اختيار المشتركين اشتراكك بنجاح
Selected problems successfully deleted,تم حذف المشاكل المختارة بنجاح
Sender,المرسل
Sender Email,البريد الإلكتروني للمرسل
Sender Name,اسم المرسل
Sending,جار الإرسال
Sending Options,خيارات الارسال
Sent,تم الإرسال
Set Return-Path,تعيين مسار العودة
Sign me up,اشترك الان
Sign up for our newsletter:,اشترك في نشرتنا البريدية:
Start,ابدء
Status,الحالة
Store,المتجر
Store View,عرض المتجر
Subject,العنوان
Subscribe,اشترك
Subscribed,تم الاشتراك
Subscriber,مشترك
Subscribers,مشتركون
Subscribers From,مشتركون من
Subscription Options,خيارات الاشتراك
Success Email Sender,نجاح ارسال الرساله الالكترونية
Success Email Template,نجاح قالب البريد الالكتروني
Template Content,محتويات القالب
Template Information,بيانات القالب
Template Name,اسم القالب
Template Subject,عنوان القالب
Template Type,نوع القالب
Thank you for your subscription,شكرا لك للاشتراك
The subscription was successfully saved,تم حفظ الاشتراك بنجاح
There was a problem with the subscription,كان هناك مشكلة في الاشتراك
There was a problem with the subscription: %s,كان هناك مشكلة في الاشتراك: %s
There was a problem with the un-subscription.,يوجد مشكلة بإلغاء الاشتراك.
There was an error while saving your subscription,يوجد خطأ أثناء حفظ اشتراكك
Toggle Editor,المحرر
Type,نوع
Unsubscribe,إلغاء الاشتراك
Unsubscribe Selected,الغاء الاشتراك مختارة
Unsubscribed,الغاء الاشتراك
Unsubscription Email Sender,الغاء الاشتراك البريد الالكتروني للمرسل
Unsubscription Email Template,قالب البريد الالكتروني لالغاء الاشتراك
View Newsletter,عرض النشرة البريدية
Website,الموقع
You have been successfully unsubscribed.,تم إلغاء اشتراكك بنجاح.
Your subscription was successfully confirmed,تم تأكيد اشتراكك بنجاح
Sign up for our newsletter:,اشتراك بالنشرة البريدية:
Subscribe,اشتراك
Newsletter,النشرة البريدية
Sign up for our newsletter,اشترك بالنشرة البريدية
Newsletter Subscriptions,اشتراكات النشرة البريدية