"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","مثال: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> حيث &lt;user_action&gt; هي 'فرض' أو 'متابعة', حسب تفضيلك لنص زر الفرض."
API Password,كلمة سر API
API Signature,توقيع API
API User Name,اسم مستخدم API
Amex,اميكس
Authorization,تفويض
Authorize and Capture,تفويض وحجز
Billing Information,معلومات الدفع
Business Account,حساب تجاري
Business Name,اسم تجاري
Card Verification Number,رقم تأكيد بطاقة الائتمان
Change Payment Method,تغيير طريقة الدفع
Change Shipping Address,تغيير عنوان الشحن
Credit Card Number,رقم بطاقة الائتمان
Credit Card Number: xxxx-%s,رقم بطاقة الائتمان: xxxx-%s
Credit Card Type,نوع بطاقة الائتمان
Credit Card Type: %s,نوع بطاقة الائتمان: %s
Credit Card Types,أنواع بطاقات الإئتمان
Customer returned from PayPal site.,رجوع العميل من موقع PayPal
Debug Flag,علم المعالجة
Discover,Discover
Edit Shopping Cart,تعديل عربة التسوق
Enabled,مفعل
Error in creating an invoice,خطأ في إنشاء فاتورة
Error in refunding the payment,خطأ في إرجاع الدفعة
Expiration Date,تاريخ انتهاء الصلاحية
Expiration Date: %s/%s,تاريخ انتهاء الصلاحية: %s/%s
Incl. Tax,شامل للضريبة
Invalid transaction id,رقم تعريف حركة غير صحيح
Invoice #%s created,تم إنشاء فاتورة #%s
Issue Number,رقم الإصدار
Items in Your Shopping Cart,السلع في عربة التسوق الخاصة بك
MasterCard,ماستركارد
Maximum image size is 750x90 px.,أقصى قياس للصورة ٧٥٠ * ٩٠ بيكسل
N/A,غير متوفر
Name on Card,الاسم على بطاقة الائتمان
Name on the Card: %s,الاسم على بطاقة الائتمان: %s
New order status,حالة طلب الشراء الجديد
No shipping method required.,طرق الشحن غير مطلوبة
Order,طلب الشراء
Order total amount does not match paypal gross total amount,المجموع الكلي للطلب غير متوافق مع المجموع الكلي في PayPal
Page Style,نمط الصفحة
PayPal Accounts,حسابات PayPal
PayPal Email,البريد الإلكتروني لـ PayPal
PayPal Express Checkout,PayPal Express Checkout
PayPal Uk Account,حساب PayPal في المملكة المتحدة
PayPal Website Payments Pro - Direct Payments,PayPal Website Payments Pro - Direct Payments
PayPal Website Payments Standard,PayPal Website Payments Standard
Payment Action,إجراء الدفع
Payment Method,طريقة الدفع
Payment from Specific countries,الدفع من دول محددة
Payment from applicable countries,الدفع من البلدان المطبقه
Paypal Checkout,عملية الشراء عبر PayPal
Paypal IPN Invalid %s.,إشعار الدفع الفوري لـ PayPal غير صالح %s
Paypal Logo Image URL,رابط صورة شعار PayPal
Paypal URL,رابط PayPal
Place an Order,تقديم طلب شراء
Please select a shipping method...,من فضلك اختر طريقة شحن...
Please select a valid shipping method,من فضلك اختر طريقة شحن صحيحة
Price,السعر
Problem during communication with PayPal,خطأ أثناء الاتصال مع PayPal
Product Name,اسم المنتج
Proxy Host,مستضيف الوكيل Proxy Host
Proxy Port,منفذ الوكيل Proxy Port
Qty,الكمية
Received IPN verification,وصول تأكيد إشعار الدفع الفوري
Review Order,معاينة طلب الشراء
Sale,بيع
Sandbox Flag,علم حساب التجربة
Selected currency code (,رمز العملة المختارة (
Shipping Address,عنوان الشحن
Shipping Information,معلومات الشحن
Shipping Method,طريقة الشحن
"Sorry, no quotes are available for this order at this time.",عذرا ، الإقتابس غير متوفر حاليا لهذا الطلب
Sort order,ترتيب
Start Date,تاريخ البداية
Submitting order information...,جار إرسال معلومات طلب الشراء...
Subtotal,المجموع الفرعي
Switch/Solo Only,فقط Switch/Solo
Switch/Solo card issue number: %s,رقم إضدار بطاقة Switch/Solo %s
Switch/Solo card start Date: %s/%s,تاريخ بداية بطاقة Switch/Solo %s
There has been an error processing your payment. Please try later or contact us for help.,حدث خطأ أثناء معالجة دفعك. من فضلك حاول مرة أخرى أو اتصل بنا للمساعدة.
There was an error connecting to the Paypal server: %s,حدث خطأ أثناء الاتصال بخادم PayPal: %s
There was an error during communication with Paypal: %s - %s,حدث خطأ أثناء الاتصال مع PayPal: %s - %s
Title,العنوان
Transaction Type,نوع المعاملة التجارية
Type,النوع
Unknown PayPal API error: %s,خطأ غير معروف في PayPal API: %s
Update Shipping Method,تحديث طريقة الشحن
Use Proxy,استخدام الوكيل Proxy
Visa,فيزا
Website Payments Pro and Express Checkout (API Signature),Website Payments Pro and Express Checkout (API Signature)
Website Payments Standard,Website Payments Standard
What is this?,ما هذا؟
You will be redirected to Paypal in a few seconds.,ٍسوف يتم إعادة توجيهك إلى Paypal في بضع ثوان.
Your billing address will be ignored and you will be redirected to PayPal UK website,سيتم تجاهل عنوان الدفع الخاص بك وإعادة توجيهك إلى موقع PayPal المملكة المتحدة