%d Review(s),%d مشاهدة(s)
%s Review(s),%s مشاهدة(s)
(Posted on %s),(تلصق في %s)
1 star,1 نجمة
2 stars,2 نجوم
3 stars,3 نجوم
4 stars,4 نجوم
5 stars,5 نجوم
Add New Review,إضافة تقييم جديد
Add Your Review,إضافة تقييمك
Administrator,المدير
All Reviews,كل التقييمات
All reviews of customer `%s`,كل التقييمات للزبون `%s`
Allow guests to write reviews,السماح للزوار لاضافة تقييم
Are you sure you want to do this?,هل أنت متأكد من فعل ذلك؟
Are you sure?,هل أنت متأكد؟
Average Customer Rating,متوسط تقييم العميل
Average Customer Rating:,متوسط تقييم العميل:
Back,للخلف
Back to Main Product Info,العودة إلى بيانات المنتج الرئيسية
Back to My Reviews,العودة إلى آرائي
Back to Product Reviews,العودة لآراء المنتج
Be the first to review this product,كن أول من يبدي رأيه في هذا المنتج
Created On,انشئت في
Customer,العميل
Customer Reviews,آراء العميل
Delete,حذف
Delete Review,حذف الرأي
Detailed Rating,التقييم المفصل
Edit Review '%s',تحرير الرأي '%s'
Guest,زائر
How do you rate this product?,كيف تقيم هذا المنتج؟
ID,الرمز التعريفي
Manage Ratings,ادارة التقييمات
My Product Reviews,أرائي في المنتجات
My Recent Reviews,آرائي الأخيرة
Name,الاسم
Name In Store,الاسم بالمتجر
New Review,رأي جديدة
Nickname,اللقب
Pending Reviews,الآراء المعلّقة
Pending Reviews,الآراء المعلّقة
Pending reviews,الآراء المعلّقة
Pending reviews of customer `%s`,الآراء المعلّقة للعميل `%s`
Please select a product,من فضلك قم باختيار منتج
Please select one of each of the ratings above,من فضلك قم باختيار إحدي التقييمات بالأعلى
Posted By,الصقت بواسطة
Price,السعر
Product,المنتج
Product Name,اسم المنتج
Product Rating,تقييم المنتج
Product Rating:,تقييم المنتج:
Product Review (submitted on %s):,آراء المنتج (الصقت في  %s):
Product Reviews,آراء المنتج
Product SKU, معرف منتج
Qty,الكمية
Rating:,التقييم:
Review,الرأي
Review Details,تفاصيل الرأي
Review by %s,رأي %s
Reviews and Ratings,الآراء والتقييمات
SKU, معرف منتج
Save Review,حفظ الرأي
Status,الحالة
Submit Review,إرسال رأي
Summary Rating,تقييم الملخص
Summary of Review,ملخص الرأي
Summary of Your Review,ملخص رأيك
Summary of review,ملخص الرأي
Title,العنوان
Type,النوع
"Unable to post review. Please, try again later.",لا يمكن نشر الرأي. من فضلك حاول مرة أخرى.
Update status,حالة التحديث
View All Reviews,عرض كل الآراء
View Details,عرض التفاصيل
Visible In,ظهرت في 
Websites,المواقع
Write Your Own Review,اكتب رأيك
You have submitted no reviews.,لم تقم بإرسال أية آراء.
You're reviewing: %s,أنت تبدي رأيك في: %s
Your review has been accepted for moderation,لقد تم قبول رأيك للإشراف
OR,او
My Product Reviews,تققييماتي