Actions,افعال
Active,مفعل
Add New Rule,إضافة قاعدة جديدة
Apply,تطبيق
Apply the rule only if the following conditions are met (leave blank for all products),تطبيق القاعده فقط اذا تم تطبيق الشروط التالية (اتركه فارغا لكافة المنتجات)
Apply the rule only to cart items matching the following conditions (leave blank for all items),تطبيق القاعده فقط الى سلع عربات التسوق المطابقه للشروط التالية (اتركه فارغا لجميع السلع)
Apply the rule to cart items matching the following conditions,تطبيق القاعده فقط الى سلع عربات التسوق المطابقه للشروط التالية
Apply to,تطبيق على
Buy X get Y free (discount amount is Y),قم بشراء س تحصل على ص مجانا (كمية الخصم في ص).
By Fixed Amount,بكمية ثابتة
By Fixed value,بقيمة ثابتة
By Percentage,بنسبة مئوية
By Percentage of the original price,بنسبة مئوية من السعر الأصلي
Cart Attribute,سمة السلة
Catalog,دليل
Conditions,الشروط
Conditions combination,الجمع بين الشروط
Coupon Code,رمز القسيمة الشرائية
Coupon code,رمز القسيمة الشرائية
Customer Groups,مجموعات العملاء
Customer is new buyer: %s,العميل هو مشتري جديد: %s
Customer registered: %s,عميل مسجل: %s
Date Expire,تاريخ الانتهاء
Date Start,تاريخ البدء
Delete Rule,حذف قاعدة
Description,الوصف
Description: %s,الوصف: %s
Discount Qty Step (Buy X),خصم بدرجة الكمية (اشتري س)
Discount amount,كمية الخصم
Edit Rule,تحرير قاعدة
Edit Rule '%s',تحرير قاعدة '%s'
Expire at: %s,ينتهي في: %s
Fixed amount discount,كمية خصم ثابتة
Fixed amount discount for whole cart,كمية خصم ثابتة لعربة التسوق كلها
For matching items only,للسلع المطابقة فقط
For shipment with matching items,للشحن مع سلع مطابقة
Free shipping,شحن مجاني
From Date,من التاريخ
General Information,بيانات عامة
ID,الرمز التعريفي
Inactive,غير نشط
Maximum Qty Discount is Applied to,أقصى خصم للكمية مطبق لـ
NOT LOGGED IN,غير مسجل الدخول
Name: %s,اسم: %s
New Rule,قاعدة جديدة
No,لا
Payment Method,طريقة الدفع
Percent of product price discount,النسبة المئوية للخصم من سعر المنتج
Price in cart,السعر في السلة
Priority,أولوية
Product attribute combination,مزيج من سمة المنتج
Products subselection,اختيار فرعي للمنتجات
Promotions,ترويج
Public In RSS Feed,عام في تغذية RSS
Quantity in cart,الكمية في عربة التسوق
Row total in cart,مجموع الصف في عربة التسوق
Rule Information,بيانات القاعدة
Rule Name,اسم القاعدة
Rule was successfully deleted,تم حذف القاعدة بنجاح
Rule was successfully saved,تم حفظ القاعدة بنجاح
Save Rule,حفظ القاعدة
Shipping Country,دولة الشحن
Shipping Method,طريقة الشحن
Shipping Postcode,الرمز البريدي للشحن
Shipping Region,منطقة الشحن
Shipping State/Province,ولاية/مقاطعة الشحن
Shopping Cart Price Rule, قاعدة تسعر عربة التسوق
Shopping Cart Price Rules,قواعد تسعير عربة التسوق
Special price,سعر خاص
Start at: %s,يبداء في: %s
Status,الحالة
Stop further rules processing,التوقف عن معالجة قواعد تالية
Subtotal,المجموع الفرعي
The page you are trying to save no longer exists,الصفحة التي تحاول حفظها لم تعد موجودة
This rule no longer exists,هذه القاعدة لم تعد موجودة
To Date,للتاريخ
To Fixed Amount,لكمية ثابتة
To Fixed Value,لقيمة ثابتة
To Percentage,للنسبة مئوية
To Percentage of the original price,للنسبة مئوية من السعر الأصلي
Total Items Quantity,كمية السلع الإجمالية
Total Weight,الوزن الإجمالي
Unable to find a page to delete,غير قادر العثور على صفحة للحذف
Update prices using the following information,تحديث الأسعار باستخدام البيانات التالية
Update product's %s %s: %s,تحديث المنتجات %s %s: %s
Update the Product,تحديث المنتج
Uses per coupon,عدد مرات الاستخدام لكل قسيمة شراء
Uses per customer,عدد مرات الاستخدام لكل عميل
Yes,نعم