All Websites,جميع المواقع
Apply Percent Discounts To FPT,تطبيق نسبة الخصم على الضريبة الفيدرالية-الإقليمية
Apply Tax To FPT,تطبيق الضريبة على الضريبة الفيدرالية-الإقليمية
Display Prices In Emails,إظهار الأسعار في البريد الإلكتروني
Display Prices In Product Lists,إظهار الأسعار في قائمة المنتجات
Display Prices In Sales Modules,إظهار الأسعار في وحدات المبيعات
Display Prices On Product View Page,إظهار الأسعار في صفحة مشاهدة المنتجات
Enable FPT,تفعيل الضريبة الفيدرالية-الإقليمية
Excluding FPT,غير شامل الضريبة الفيدرالية-الإقليمية
"Excluding FPT, FPT description, final price",غير شامل الضريبة الفيدرالية-الإقليمية، وصف الضريبة الفيدرالية-الإقليمية، السعر النهائي
Fixed Product Tax,ضريبة ثابتة للمنتج
Fixed Product Taxes,ضرائب ثابتة للمنتج
Include FPT In Subtotal,شمل الضريبة الفيدرالية-الإقليمية في المجموع الفرعي
Including FPT and FPT description [excl. FPT VAT],شمل الضريبة الفيدرالية-الإقليمية ووصف الضريبة الفيدرالية-الإقليمية (غير شامل للضريبة المضافة الضريبة الفيدرالية-الإقليمية)
Including FPT and FPT description [incl. FPT VAT],شمل الضريبة الفيدرالية-الإقليمية ووصف الضريبة الفيدرالية-الإقليمية (شامل للضريبة المضافة الضريبة الفيدرالية-الإقليمية)
Including FPT only,شمل الضريبة الفيدرالية-الإقليمية فقط
Total,المجموع
Total incl. tax,المجموع شامل الضريبة