Sign up with Facebook,إنشاء حساب باستخدام الفيس بوك
Sign in with Twitter,تسجيل الدخول بإستخدام تويتر
Sign in with Google,تسجيل الدخول بإستخدام جوجل
Sign in with Linkedin,تسجيل الدخول باستخدام لينكد إن
Facebook Connect,التواصل عن طريق الفيس بوك
Google Connect,التواصل عن طريق جوجل
Twitter Connect,التواصل عن طريق تويتر
LinkedIn Connect,التواصل عن طريق لينكد إن
You can register using your Facebook account.,يمكنك التسجيل باستخدام حساب Facebook الخاص بك.
You can register using your Google account.,يمكنك التسجيل باستخدام حساب Google الخاص بك.
You can register using your Twitter account.,يمكنك التسجيل باستخدام حساب Twitter الخاص بك.
You can register using your LinkedIn account.,يمكنك التسجيل باستخدام حساب LinkedIn الخاص بك.
"Sign in with <i class=""icon icon-facebook""></i>","تسحيل الدخول بواسطة <i class=""icon icon-facebook""></i>"
"Sign in with <i class=""icon icon-googleplus""></i>","تسجيل الدخول بواسطة <i class=""icon icon-googleplus""></i>"
"Sign in with <i class=""icon icon-linkedin""></i>"," تسجيل دخول بواسطة <i class=""icon icon-linkedin""></i>"
"Sign in with <i class=""icon icon-twitter""></i>"," تسجيل دخول بواسطة <i class=""icon icon-twitter""></i>"
You can login using your Facebook account.,يمكنك تسجيل الدخول باستخدام حساب Facebook الخاص بك.
You can login using your Google account.,يمكنك تسجيل الدخول باستخدام حساب Google الخاص بك.
You can login using your Twitter account.,يمكنك تسجيل الدخول باستخدام حساب Twitter الخاص بك.
You can login using your LinkedIn account.,يمكنك تسجيل الدخول باستخدام حساب LinkedIn الخاص بك.
Connect,اتصال
You can connect store account with your Facebook account so you could login easier in the future.,يمكنك ربط حساب متجرك مع حساب Facebook الخاص بك لتسجيل دخول أسهل في المستقبل.
You can connect store account with your Google account so you could login easier in the future.,يمكنك ربط حساب متجرك مع حساب Google الخاص بك لتسجيل دخول أسهل في المستقبل.
You can connect store account with your Twitter account so you could login easier in the future.,يمكنك ربط حساب متجرك مع حساب Twitter الخاص بك لتسجيل دخول أسهل في المستقبل.
You can connect store account with your LinkedIn account so you could login easier in the future.,يمكنك ربط حساب متجرك مع حساب LinkedIn الخاص بك لتسجيل دخول أسهل في المستقبل.